agency,sido,sigungu,spot_name,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울특별시,구로구,개봉동,37.4930115322775,126.857746551058,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,고척동,37.5013977406623,126.863557123957,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,구로동,37.4957707378732,126.882642231121,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,궁동,37.5018731116131,126.827457184485,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,신도림동,37.5077809050367,126.880610228674,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,오류동,37.4889461307052,126.835492478188,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,온수동,37.4941466665876,126.820586087352,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,천왕동,37.4802774110978,126.83999317372,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,구로구,항동,37.4801853131196,126.823409784343,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,금천구,가산동,37.4768763179226,126.891779471155,8965,1006,887,227,3482,817,81,2465
서울특별시경찰청,서울특별시,금천구,독산동,37.4681432491736,126.899392976389,8965,1006,887,227,3482,817,81,2465
서울특별시경찰청,서울특별시,금천구,시흥동,37.4476688042388,126.908452220723,8965,1006,887,227,3482,817,81,2465
서울특별시경찰청,서울특별시,노원구,공릉동,37.6248431089169,127.073821318894,10005,1453,1506,318,2756,918,102,2952
서울특별시경찰청,서울특별시,노원구,상계동,37.66125057554,127.060252770712,10005,1453,1506,318,2756,918,102,2952
서울특별시경찰청,서울특별시,노원구,월계동,37.6199191869585,127.062987742987,10005,1453,1506,318,2756,918,102,2952
서울특별시경찰청,서울특별시,노원구,중계동,37.6525550467648,127.077488598779,10005,1453,1506,318,2756,918,102,2952
서울특별시경찰청,서울특별시,노원구,하계동,37.6404885286244,127.072685646642,10005,1453,1506,318,2756,918,102,2952
서울특별시경찰청,서울특별시,도봉구,도봉동,37.6873960128039,127.021495626589,6356,870,800,156,2077,461,52,1940
서울특별시경찰청,서울특별시,도봉구,방학동,37.665897548954,127.026875382235,6356,870,800,156,2077,461,52,1940
서울특별시경찰청,서울특별시,도봉구,쌍문동,37.6513191127048,127.029190894368,6356,870,800,156,2077,461,52,1940
서울특별시경찰청,서울특별시,도봉구,창동,37.6522582058481,127.045432300312,6356,870,800,156,2077,461,52,1940
서울특별시경찰청,서울특별시,동대문구,답십리동,37.5690668295007,127.056655839753,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,신설동,37.5749629616682,127.025538570996,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,용두동,37.5754186480422,127.033598820976,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,이문동,37.6004055110663,127.066373060068,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,장안동,37.5696967138507,127.071439570463,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,전농동,37.5793286114287,127.053978285554,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,제기동,37.5831154639893,127.037818414722,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,청량리동,37.5862511095438,127.047289719403,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,회기동,37.5907885967282,127.05537245757,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동대문구,휘경동,37.5908553624268,127.065730507228,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동작구,노량진동,37.510705811037,126.940393261193,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,대방동,37.508164261,126.926343500008,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,동작동,37.4992139256223,126.973876571542,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,본동,37.513029355907,126.954204316851,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,사당동,37.483932674151,126.9731356614,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,상도1동,37.50324263284,126.94974984805,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,상도동,37.4985163075707,126.939014238644,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,신대방동,37.4930124961568,126.914941920386,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,동작구,흑석동,37.505775015354,126.966590753167,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,마포구,공덕동,37.550174347382,126.960034513244,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,구수동,37.5457361347135,126.932539327611,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,노고산동,37.5543526246389,126.937909479778,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,당인동,37.5437530625519,126.919627791269,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,대흥동,37.5498936438387,126.943403941965,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,도화동,37.541549712387,126.949873511116,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,동교동,37.557208530833,126.922261659865,13488,1926,1469,778,3680,1402,147,4086
