agency,station,unit_name,unit_label,kind,address,sido,sigungu,lat,lon,catchment,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울남대문,회현,회현파출소,파출소,서울특별시 중구 퇴계로6길 3-15,서울특별시,중구,37.5555892070291,126.981204133005,"남창동, 예장동, 회현동1가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울남대문,서소문,서소문파출소,파출소,서울특별시 중구 서소문로 131-1 서소문파출소,서울특별시,중구,37.5631129454112,126.97389954989,"남대문로4가, 남대문로5가, 봉래동1가, 서소문동, 순화동, 의주로1가, 충정로1가, 태평로2가",9919,1396,1410,279,2628,717,72,3417
서울특별시경찰청,서울서대문,충정로,충정로지구대,지구대,서울특별시 서대문구 독립문로 25-1,서울특별시,서대문구,37.564851103114,126.964119536636,"냉천동, 미근동, 북아현동, 영천동, 옥천동, 천연동, 충정로2가, 충정로3가",7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,신촌,신촌지구대,지구대,서울특별시 서대문구 신촌역로 22,서울특별시,서대문구,37.5651616940519,126.93927687604,"대신동, 대현동, 신촌동, 창천동",7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,홍은,홍은파출소,파출소,서울특별시 서대문구 세검정로1길 112,서울특별시,서대문구,37.5908908122789,126.933218715152,홍은동,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,연희,연희파출소,파출소,서울특별시 서대문구 연희로25길 73,서울특별시,서대문구,37.573910010416,126.935230751932,"봉원동, 연희동",7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,남가좌,남가좌파출소,파출소,서울특별시 서대문구 가재울로4길 51,서울특별시,서대문구,37.5755473825403,126.919548350676,남가좌동,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,북가좌,북가좌파출소,파출소,서울특별시 서대문구 응암로1길 13,서울특별시,서대문구,37.5780815956199,126.91039845202,북가좌동,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,홍제,홍제파출소,파출소,서울특별시 서대문구 통일로 441-1,서울특별시,서대문구,37.5858458009441,126.948725215733,홍제동,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울서대문,홍은2,홍은2파출소,파출소,서울특별시 서대문구 연희로 298,서울특별시,서대문구,37.579161863979,126.9368156604,,7453,905,1012,261,2504,631,72,2068
